name,lat,lon,population,state,district
Vellakkovil,10.94627,77.71242,40359,Tamil Nadu,Tiruppur
Velankanni,10.68333,79.83333,11108,Tamil Nadu,Nagapattinam
Vejalpur,22.69021,73.56299,121610,Gujarat,Panch Mahals
Vedasandur,10.53102,77.95019,12493,Tamil Nadu,Dindigul
Vedaraniyam,10.37208,79.85095,34266,Tamil Nadu,Nagapattinam
Vayalar,9.71158,76.33888,25094,Kerala,Alappuzha
Vav,24.36459,71.51203,12034,Gujarat,Banas Kantha
Vattalkundu,10.16069,77.75883,22928,Tamil Nadu,Dindigul
Vasudevanallur,9.24171,77.41177,21361,Tamil Nadu,Tenkasi district
Vasind,19.40844,73.26285,20561,Maharashtra,Thane
Vasco da Gama,15.39585,73.81568,100485,Goa,South Goa
Vaso,22.66079,72.75519,15934,Gujarat,Kheda
Vartej,21.73947,72.06553,11354,Gujarat,Bhavnagar
Varsoli,18.66646,72.86923,11039,Maharashtra,Raigarh
Varkala,8.7333,76.7167,43276,Kerala,Thiruvananthapuram
Varca,15.23237,73.94311,5439,Goa,South Goa
Varangaon,21.01767,75.91042,44067,Maharashtra,Jalgaon
Varanasi,25.31668,83.01041,1164404,Uttar Pradesh,Varanasi
Vanthli,21.4774,70.33115,14554,Gujarat,Junagadh
Vansada,20.75817,73.36389,14072,Gujarat,Navsari
Vaniyambadi,12.68162,78.62014,95061,Tamil Nadu,Tirupattur district
Vandavasi,12.50429,79.60556,31530,Tamil Nadu,Tiruvannamalai
Vandalur,12.8924,80.08079,16852,Tamil Nadu,Chengalpattu district
Valsad,20.61013,72.93428,139764,Gujarat,Valsad
Valpoi,15.53239,74.13671,8532,Goa,North Goa
Valparai,10.32691,76.95116,90353,Tamil Nadu,Coimbatore
Vallam,10.71988,79.05981,16758,Tamil Nadu,Thanjavur
Vallabh Vidyanagar,22.53333,72.9,32581,Gujarat,Anand
Valavanur,11.92094,79.58239,16745,Tamil Nadu,Villupuram
Azhikkal,11.94043,75.30512,8117,Kerala,Kannur
Valantaravai,9.33905,78.88712,7498,Tamil Nadu,Ramanathapuram
Valangaiman,10.89012,79.39322,11754,Tamil Nadu,Thiruvarur
Valabhipur,21.88868,71.87935,18663,Gujarat,Bhavnagar
Vaithisvarankoil,11.19583,79.70736,7676,Tamil Nadu,Mayiladuthurai district
Vaikam,9.74858,76.39637,23234,Kerala,Kottayam
Vaijapur,19.92672,74.7275,41296,Maharashtra,Aurangabad
Vagholi,18.5823,73.98301,33479,Maharashtra,Pune Division
Vaghodia,22.30505,73.40016,16604,Gujarat,Vadodara
Vadodara,22.29941,73.20812,1822221,Gujarat,Vadodara
Vadnagar,23.78593,72.63893,27790,Gujarat,Mahesana
Vadlapudi,14.31119,79.8043,17881,Andhra Pradesh,Nellore
Vadipatti,10.08481,77.96113,26830,Tamil Nadu,Madurai
Vadasinor,22.95677,73.33505,39330,Gujarat,Mahisagar
Vadamadurai,10.44081,78.09784,18015,Tamil Nadu,Dindigul
Vadali,23.94232,73.03784,20646,Gujarat,Sabarkantha
Vadakku Valliyur,8.38286,77.61221,29417,Tamil Nadu,Tirunelveli Kattabo
Vadakancheri,10.66039,76.24656,15674,Kerala,Thrissur District
Vada,19.65347,73.14811,16750,Maharashtra,Palghar
Uttukkuli,11.16892,77.45431,10130,Tamil Nadu,Tiruppur
Uthukkottai,13.33551,79.89,12740,Tamil Nadu,
Uttiramerur,12.61433,79.75748,25194,Tamil Nadu,Kancheepuram
Uttarkashi,30.72986,78.44342,17123,Uttarakhand,Uttarkashi
Uttangarai,12.26713,78.53783,18470,Tamil Nadu,Krishnagiri
Uttamapalaiyam,9.80701,77.32718,29050,Tamil Nadu,Theni
Utraula,27.31933,82.41872,28437,Uttar Pradesh,Balrampur
Utran,21.23333,72.86667,14855,Gujarat,Surat
Utnur,19.36798,78.77608,16005,Telangana,Adilabad
Utai,21.11667,81.38333,8752,Chhattisgarh,Durg
Usilampatti,9.96936,77.78621,35219,Tamil Nadu,Madurai
Usgao,15.43333,74.06667,12436,Goa,North Goa
Usehat,27.79796,79.23763,15068,Uttar Pradesh,Budaun
Urun-Islampur,17.05,74.26667,67391,Maharashtra,Sangli
Urmar,31.68137,75.63549,23419,Punjab,Hoshiarpur
Uri,34.086,74.032,9366,Jammu and Kashmir,Baramula
Uravakonda,14.94348,77.25494,35565,Andhra Pradesh,Anantapur
Uran,18.87813,72.93924,30439,Maharashtra,Raigarh
Urakam,10.43333,76.21667,13149,Kerala,Thrissur District
Uppinangadi,12.83641,75.24612,7813,Karnataka,Dakshina Kannada
Uppiliyapuram,11.26356,78.5139,7705,Tamil Nadu,Tiruchirappalli
Uppala,12.68436,74.90068,11542,Kerala,Kasaragod District
Upleta,21.74015,70.28256,58775,Gujarat,Rajkot
Uppal Kalan,17.40577,78.55911,118259,Telangana,Medchal Malkajgiri
Unnao,26.54706,80.48781,161671,Uttar Pradesh,District Unnao
Unjha,23.80366,72.39101,57108,Gujarat,Mahesana
Uniara,26.15336,75.21523,11441,Rajasthan,Tonk
Uniara,25.91502,76.026,12551,Rajasthan,Tonk
Unhel,23.33794,75.55931,15837,Madhya Pradesh,Ujjain
Unchahra,24.38251,80.78088,18442,Madhya Pradesh,Satna
Unchagao,16.69746,74.27325,31238,Maharashtra,Kolhapur
Una,31.46493,76.26914,18722,Himachal Pradesh,Una
Una,20.82318,71.03795,58528,Gujarat,Gir Somnath
Un,29.58479,77.2554,15007,Uttar Pradesh,Shamli
Un,23.88745,71.76975,30671,Gujarat,Banas Kantha
Umsning,25.73647,91.88804,8198,Meghalaya,Ri-Bhoi
Umri,26.51056,78.93667,9364,Madhya Pradesh,Bhind
Umri,19.0391,77.64539,13501,Maharashtra,Nanded
Umreth,22.69881,73.11561,33762,Gujarat,Anand
Umred,20.85396,79.32466,53971,Maharashtra,Nagpur Division
Umrala,21.84353,71.80305,11874,Gujarat,Bhavnagar
Umarkot,19.66529,82.20629,28993,Chhattisgarh,
Umarkhed,19.60144,77.68878,47458,Maharashtra,Yavatmal
Umaria,23.52473,80.83716,33114,Madhya Pradesh,Umaria District
Umargam,20.19718,72.75035,27859,Gujarat,Valsad
Umarga,17.83841,76.62331,35477,Maharashtra,Osmanabad
Uluberiya,22.4756,88.09898,235345,West Bengal,Haora
Ullal,12.80569,74.86058,59116,Karnataka,Dakshina Kannada
Ulhasnagar,19.21667,73.15,516584,Maharashtra,Thane
Ukwa,21.97102,80.46625,7369,Madhya Pradesh,Balaghat
Uklana,29.51124,75.87823,13219,Haryana,Hisar
Ukhrul,25.11957,94.36417,27187,Manipur,Ukhrul
Ujjain,23.18239,75.77643,515215,Madhya Pradesh,Ujjain
Ujhani,28.00311,79.00821,56309,Uttar Pradesh,Budaun
Ugu,26.79681,80.32093,6518,Uttar Pradesh,District Unnao
Udumalaippettai,10.58806,77.24779,61133,Tamil Nadu,Tiruppur
Udpura,24.73355,75.97514,10051,Rajasthan,Kota
Udiyavara,13.30247,74.73869,11854,Karnataka,Udupi
Udupi,13.33467,74.74617,165000,Karnataka,Udupi
Udhampur,32.92431,75.13573,84015,Jammu and Kashmir,Udhampur
Udgir,18.39258,77.11756,103550,Maharashtra,Latur
Udangudi,8.42918,78.02968,19738,Tamil Nadu,Thoothukkudi
Udalguri,26.75367,92.10215,15935,Assam,Udalguri
Udala,21.57811,86.56676,13152,Odisha,Mayurbhanj
Udaiyarpalaiyam,11.18733,79.29331,12688,Tamil Nadu,Ariyalur
Udaipura,23.07434,78.51108,18236,Madhya Pradesh,Raisen
Udaipur,27.72297,75.47178,30264,Rajasthan,Jhunjhunu District
Udaipur,24.58584,73.71346,451100,Rajasthan,Udaipur
Udaipur,23.53333,91.48333,32758,Tripura,Gomati
Udayagiri,20.12416,84.36869,11302,Odisha,Kandhamal
Ooty,11.4134,76.69521,233426,Tamil Nadu,Nilgiris
Bara Uchana,29.46747,76.17798,16815,Haryana,Jind
Ubaidullahganj,22.99834,77.58621,22845,Madhya Pradesh,Raisen
Tyagadurgam,11.74114,79.07698,18605,Tamil Nadu,Kallakurichi district
Turuvekere,13.16374,76.66641,14194,Karnataka,Tumkur
Turaiyur,11.14968,78.5987,32134,Tamil Nadu,Tiruchirappalli
Tura,25.51421,90.20239,74858,Meghalaya,West Garo Hills
Tuni,17.35905,82.54607,53425,Andhra Pradesh,Kakinada
Tundla,27.2146,78.23683,50939,Uttar Pradesh,Firozabad
Tumsar,21.38333,79.73333,44869,Maharashtra,Bhandara
Tumkur,13.34136,77.1022,307359,Karnataka,Tumkur
Tumgaon,21.19124,82.12296,7394,Chhattisgarh,Mahasamund
Tulsipur,27.5337,82.41653,22486,Uttar Pradesh,Balrampur
Tuljapur,18.00804,76.07011,35596,Maharashtra,Osmanabad
Tufanganj,26.31688,89.66549,20420,West Bengal,Cooch Behar District
Tuensang,26.26704,94.82415,36774,Nagaland,Tuensang District
Tudiyalur,11.08159,76.94464,33924,Tamil Nadu,Coimbatore
Tsrar Sharif,33.86319,74.76524,11533,Jammu and Kashmir,Badgam
Tseminyu,25.92474,94.21615,6315,Nagaland,Tseminyu
Thiruvananthapuram,8.4855,76.94924,788271,Kerala,Thiruvananthapuram
Trittala,10.80303,76.12885,27796,Kerala,Palakkad district
Tripunittura,9.94283,76.33331,69390,Kerala,Ernakulam
Trimbak,19.93268,73.52907,12056,Maharashtra,Nashik Division
Thrissur,10.51667,76.21667,315957,Kerala,Thrissur District
Tral,33.92708,75.11585,17844,Jammu and Kashmir,Pulwama
Toto,23.13336,84.52796,5237,Jharkhand,Gumla
Tosham,28.86993,75.9165,15559,Haryana,Bhiwani
Torpa,22.93605,85.08892,8592,Jharkhand,Khunti
Tori-Fatehpur,25.45505,79.11428,10210,Uttar Pradesh,Jhansi
Topchanchi,23.90381,86.19792,6082,Jharkhand,Dhanbad
Tonk Khurd,23.09831,76.21552,7979,Madhya Pradesh,Dewas
Tonk,26.16638,75.78824,165294,Rajasthan,Tonk
Tondi,9.74173,79.01774,18465,Tamil Nadu,Ramanathapuram
Tohana,29.71332,75.90441,63871,Haryana,Fatehabad District
Todaraisingh,26.02401,75.48182,23559,Rajasthan,Tonk
Todabhim,26.91667,76.81667,22977,Rajasthan,Karauli
Tittagudi,11.40717,79.12216,22894,Tamil Nadu,Cuddalore
Tittachcheri,10.86738,79.78932,9245,Tamil Nadu,Nagapattinam
Titron,29.66824,77.32391,11569,Uttar Pradesh,District Saharanpur
Titlagarh,20.28961,83.15233,34067,Odisha,Balangir
Titagarh,22.74252,88.37326,127751,West Bengal,North 24 Parganas
Titabar,26.6014,94.20386,7836,Assam,Jorhat
Tisaiyanvilai,8.33702,77.86776,23702,Tamil Nadu,Tirunelveli Kattabo
Tiruvottiyur,13.15823,80.30181,249446,Tamil Nadu,Chennai
Thiruvidaimaruthur,10.99857,79.45227,14786,Tamil Nadu,Thanjavur
Cheyyar,12.66052,79.54308,37802,Tamil Nadu,Tiruvannamalai
Tiruvennanallur,11.85892,79.36645,9623,Tamil Nadu,Villupuram
Tiruvengadam,9.25859,77.6748,8337,Tamil Nadu,Tenkasi district
Tiruvannamalai,12.22662,79.07461,145278,Tamil Nadu,Tiruvannamalai
Tiruvankod,8.24521,77.301,18723,Tamil Nadu,Kanniyakumari
Tiruvallur,13.14376,79.90889,56074,Tamil Nadu,Thiruvallur
Tiruvalam,12.98247,79.26612,9153,Tamil Nadu,Vellore
Tiruvalla,9.3816,76.57489,57223,Kerala,Pattanamtitta
Thiruthuraipoondi,10.52819,79.63268,24404,Tamil Nadu,Thiruvarur
Thiruthani,13.17594,79.61637,44781,Tamil Nadu,Thiruvallur
Tiruttangal,9.48333,77.83333,55362,Tamil Nadu,Virudhunagar
Tirurangadi,11.04316,75.92337,56632,Kerala,Malappuram
Tirur,10.91368,75.92118,56058,Kerala,Malappuram
Tiruppuvanam,9.82564,78.25795,24554,Tamil Nadu,Sivaganga
Tiruppur,11.11541,77.35456,963173,Tamil Nadu,Tiruppur
Tirupporur,12.7259,80.18954,13666,Tamil Nadu,Chengalpattu district
Tirupattur,12.49239,78.56804,64125,Tamil Nadu,Tirupattur district
Tirupparangunram,9.88151,78.07306,50004,Tamil Nadu,Madurai
Tirupananthal,11.09233,79.45252,11169,Tamil Nadu,Thanjavur
Tiruppalaikudi,9.54606,78.91721,8824,Tamil Nadu,Ramanathapuram
Tirupati,13.63551,79.41989,295323,Andhra Pradesh,Tirupati
Tirunelveli,8.72742,77.6838,1435844,Tamil Nadu,Tirunelveli Kattabo
Tirumullaivasal,11.23996,79.83705,13234,Tamil Nadu,Mayiladuthurai district
Tirumangalam,9.82307,77.98381,51194,Tamil Nadu,Madurai
Tirumala,13.68333,79.35,18013,Andhra Pradesh,Tirupati
Tirumakudal Narsipur,12.21207,76.9018,9980,Karnataka,Mysore
Tirukurangudi,8.43646,77.56569,9342,Tamil Nadu,Tirunelveli Kattabo
Tirukkoyilur,11.9662,79.20259,30212,Tamil Nadu,Kallakurichi district
Thirukattupalli,10.84431,78.95647,12972,Tamil Nadu,Thanjavur
Tirukkalikkunram,12.60799,80.0555,29391,Tamil Nadu,Chengalpattu district
Tiruchengode,11.38016,77.89444,95335,Tamil Nadu,Namakkal
Tiruchirappalli,10.8155,78.69651,1022518,Tamil Nadu,Tiruchirappalli
Tiruchchendur,8.49725,78.11906,32171,Tamil Nadu,Thoothukkudi
Tirthahalli,13.68835,75.24548,15422,Karnataka,Shimoga
Tirodi,21.68522,79.71906,8870,Madhya Pradesh,Balaghat
Tirawari,29.80147,76.92825,25944,Haryana,Karnal
Tira Sujanpur,31.83364,76.50539,7943,Himachal Pradesh,Hamirpur
Tiptur,13.2563,76.47768,60957,Karnataka,Tumkur
Tinsukia,27.48905,95.35992,116322,Assam,Tinsukia
Tinpahar,24.98333,87.73333,5336,Jharkhand,Sahibganj
Tinnanur,13.11448,80.02713,37095,Tamil Nadu,Thiruvallur
Tindwari,25.61739,80.52718,10406,Uttar Pradesh,District Banda
Tindivanam,12.234,79.65551,72796,Tamil Nadu,Villupuram
Timurni,22.37115,77.2274,22359,Madhya Pradesh,Harda
Tilhar,27.96282,79.73827,57043,Uttar Pradesh,Shajahanpur
Tikri,29.2291,77.35479,13646,Uttar Pradesh,Baghpat
Tikkotti,11.48333,75.61667,27051,Kerala,
Tikamgarh,24.74327,78.83061,79106,Madhya Pradesh,Tikamgarh
Tikaitnagar,26.94612,81.56583,8806,Uttar Pradesh,Bara Banki
Tijara,27.93411,76.85541,24747,Rajasthan,Alwar
Thoubal,24.63881,93.99639,45947,Manipur,Thoubal
Thiruvarur,10.77269,79.6368,58777,Tamil Nadu,Thiruvarur
Thiruvaiyaru,10.88405,79.10362,16164,Tamil Nadu,Thanjavur
Thenzawl,23.31667,92.75,7259,Mizoram,Serchhip
Thasra,22.79831,73.21174,18337,Gujarat,Kheda
Tharad,24.39597,71.62577,27954,Gujarat,Banas Kantha
Thara,23.97345,71.81922,18060,Gujarat,Banas Kantha
Thanniyam,10.41667,76.13333,9743,Kerala,Thrissur District
Thanna Mandi,33.54204,74.381,5490,Jammu and Kashmir,Rajauri
Thanjavur,10.78523,79.13909,291067,Tamil Nadu,Thanjavur
Thanesar,29.97323,76.83214,155152,Haryana,Kurukshetra
Thane,19.19704,72.96355,1841488,Maharashtra,Thane
Thandla,23.00959,74.57747,15756,Madhya Pradesh,Jhabua
Thana Bhawan,29.58605,77.41811,33498,Uttar Pradesh,Shamli
Than,22.57422,71.19942,42508,Gujarat,Surendranagar
Talera,25.31575,75.73276,7203,Rajasthan,Bundi District
Thakurganj,26.42742,88.13112,18348,Bihar,Kishanganj
Thakurdwara,29.19203,78.86145,39860,Uttar Pradesh,Moradabad
Tezu,27.91256,96.12882,18184,Arunachal Pradesh,Lohit District
Tezpur,26.63333,92.8,75540,Assam,Sonitpur
Tevaram,9.89666,77.28092,16079,Tamil Nadu,Theni
Terdal,16.49379,75.04667,26411,Karnataka,Bagalkot
Teonthar,24.98207,81.64194,17039,Madhya Pradesh,Rewa
Teok,26.83197,94.41651,8795,Assam,Jorhat
Thenkasi,8.96003,77.31525,70545,Tamil Nadu,Tenkasi district
Teni,10.01115,77.47772,1034724,Tamil Nadu,Theni
Tendukheda,23.3962,79.53947,14399,Madhya Pradesh,Damoh
Thenali,16.24253,80.63982,164937,Andhra Pradesh,Guntur
Tellicherry,11.74811,75.4929,97201,Kerala,Kannur
Telhara,21.02694,76.83889,21146,Maharashtra,Akola
Tekkali,18.6057,84.23546,28631,Andhra Pradesh,Srikakulam
Tekkalakote,15.53444,76.87703,26224,Karnataka,Ballari
Tekari,24.94253,84.84265,21324,Bihar,Gaya
Tekanpur,25.99401,78.28322,13681,Madhya Pradesh,Gwalior
Tehri,30.39086,78.4803,27611,Uttarakhand,Tehri Garhwal
Teghra,25.49043,85.94001,56234,Bihar,Begusarai
Tawang Town,27.57417,91.795,11202,Arunachal Pradesh,Tawang
Tattayyangarpettai,11.12417,78.44916,12980,Tamil Nadu,Tiruchirappalli
Tasgaon,17.037,74.60171,37945,Maharashtra,Sangli
Tarn Taran,31.45191,74.92777,66847,Punjab,Tarn Taran
Tarikere,13.70954,75.81382,37848,Karnataka,Chikmagalur
Tarapur,25.09067,86.66197,7450,Bihar,Munger
Tarapur,19.86499,72.68426,7493,Maharashtra,Palghar
Tharangambadi,11.02764,79.85425,23191,Tamil Nadu,Mayiladuthurai district
Taranagar,28.6686,75.03207,32640,Rajasthan,Churu District
Tarana,23.33383,76.04253,24908,Madhya Pradesh,Ujjain
Taramangalam,11.69403,77.97035,30222,Tamil Nadu,Salem
Tarakeswar,22.88605,88.01363,30475,West Bengal,Hugli
Tarabha,20.73252,83.67443,8334,Odisha,Subarnapur
Tapukrah,28.11072,76.8327,9471,Rajasthan,Alwar
Taoru,28.21173,76.94984,22599,Haryana,Nuh
Tanuku,16.75438,81.68143,77962,Andhra Pradesh,West Godavari
Tankara,22.65622,70.74945,10175,Gujarat,Morbi
Tangdhar,34.3979,73.85984,9904,Jammu and Kashmir,Kupwara
Tandur,17.24849,77.57698,65115,Telangana,Vikarabad
Tanda,28.97621,78.94187,44822,Uttar Pradesh,District Rampur
Tanda,26.54953,82.65841,88073,Uttar Pradesh,Ambedkar Nagar
Tanakpur,29.074,80.11139,16905,Uttarakhand,Champawat
Tammampatti,11.44126,78.4887,21503,Tamil Nadu,Salem
Tamluk,22.30083,87.92593,48646,West Bengal,Purba Medinipur
Tamenglong,25.0164,93.48545,19363,Manipur,Tamenglong
Tambaram,12.9246,80.12707,174787,Tamil Nadu,Chengalpattu district
Talwara,31.9376,75.88657,24752,Punjab,Hoshiarpur
Talwandi Sabo,29.98379,75.08203,20589,Punjab,Bathinda
Talwandi Bhai,30.85584,74.92979,17285,Punjab,Firozpur
Taloje,19.08555,73.09837,14318,Maharashtra,Raigarh
Taloda,21.56128,74.21238,26363,Maharashtra,Nandurbar
Talni,19.88176,76.47322,5743,Maharashtra,Jalna
Taliparamba,12.04161,75.35927,72465,Kerala,Kannur
Talikota,16.47311,76.31085,31693,Karnataka,Bijapur
Talgram,27.04753,79.64811,10629,Uttar Pradesh,Kannauj
Talen,23.56949,76.72821,10582,Madhya Pradesh,Rajgarh
Taleigao,15.46915,73.83285,17148,Goa,North Goa
Talegaon Dabhade,18.73502,73.67561,56435,Maharashtra,Pune Division
Talcher,20.94927,85.23354,40841,Odisha,Angul District
Talbahat,25.04357,78.43441,13789,Uttar Pradesh,Lalitpur
Talakkad,10.88459,75.93091,35820,Kerala,Malappuram
Talaja,21.3527,72.03524,29948,Gujarat,Bhavnagar
Talainayar Agraharam,10.5614,79.77229,12798,Tamil Nadu,Nagapattinam
Tal,23.71979,75.38514,14913,Madhya Pradesh,Ratlam
Takkolam,13.01643,79.73252,13983,Tamil Nadu,Ranipet district
Taki,22.58867,88.93253,40113,West Bengal,North 24 Parganas
Takhatpur,22.12915,81.86959,19968,Chhattisgarh,Bilaspur
Takhatgarh,25.32235,73.00487,17285,Rajasthan,Pali District
Takalghat,20.91521,78.94694,11363,Maharashtra,Nagpur Division
Tajpur,29.16242,78.48458,17529,Uttar Pradesh,Bijnor
Taipi Duidam,27.29117,96.04367,7151,Arunachal Pradesh,Changlang
Tadpatri,14.90832,78.01031,108171,Andhra Pradesh,Anantapur
Tadepalligudem,16.81467,81.52717,112655,Andhra Pradesh,West Godavari
Tadepalle,16.48333,80.6,64149,Andhra Pradesh,Guntur
Swamimalai,10.95747,79.32931,7289,Tamil Nadu,Thanjavur
Suwasra,24.06983,75.65232,13304,Madhya Pradesh,Mandsaur
Sutrapara,20.84352,70.48318,26132,Gujarat,Gir Somnath
Suthalia,23.99552,77.13953,10596,Madhya Pradesh,Rajgarh
Susner,23.94667,76.08825,16432,Madhya Pradesh,Agar Malwa
Suriapet,17.14054,79.62045,111729,Telangana,Suryapet
Surianwan,25.46387,82.41922,19157,Uttar Pradesh,Bhadohi
Surgana,20.55956,73.63747,6566,Maharashtra,Nashik Division
Surendranagar,22.72706,71.64856,179628,Gujarat,Surendranagar
Suratgarh,29.3215,73.89979,70536,Rajasthan,Ganganagar
Surat,21.19594,72.83023,4591246,Gujarat,Surat
Surandai,8.97574,77.41923,35272,Tamil Nadu,Tenkasi district
Surajpur,23.21347,82.86836,20189,Chhattisgarh,Surajpur
Surajgarh,28.31005,75.73271,21666,Rajasthan,Jhunjhunu District
Supaul,26.11527,86.59509,65437,Bihar,Supaul
Sunel,24.37065,75.95708,15840,Rajasthan,Jhalawar District
