latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,source,cluster_name
22.80331501653351,86.18394359934854,357.33768029816275,0.4,0.4,2026-08-29,1845,N,VIIRS,h,2.0NRT,291.3141129736169,9.542894920675478,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.81102494280261,86.18378075495085,346.06602865105214,0.4,0.4,2026-08-08,1830,N,VIIRS,h,2.0NRT,301.11379118104605,12.695558112758079,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.804258157627036,86.18247953056911,338.15274792407075,0.4,0.4,2026-08-13,130,N,VIIRS,h,2.0NRT,310.0944198404753,12.371519188723308,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.801086414488914,86.18662946280492,386.5807841116161,0.4,0.4,2026-08-11,1845,N,VIIRS,h,2.0NRT,314.14293072490403,11.874783790301745,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.807214286333846,86.18567078664633,335.99265619800866,0.4,0.4,2026-08-21,145,N,VIIRS,h,2.0NRT,290.22086809253017,15.869243775021385,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.800228532540434,86.18404098635094,356.7132620430672,0.4,0.4,2026-08-20,1830,N,VIIRS,h,2.0NRT,307.0622358785868,9.397969981276574,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.802002506652922,86.18790483506378,365.2188885184951,0.4,0.4,2026-08-02,130,N,VIIRS,h,2.0NRT,312.9499657224808,14.347183200005908,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.80673367973938,86.18738004170561,322.46542676543515,0.4,0.4,2026-08-09,1830,N,VIIRS,h,2.0NRT,303.1015216769709,10.145846728195291,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.800772941029987,86.181600138358,324.66421933512527,0.4,0.4,2026-08-19,145,N,VIIRS,h,2.0NRT,298.4415167606599,10.935937577666836,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.803318242060993,86.18547561907323,373.145083226191,0.4,0.4,2026-08-25,1830,N,VIIRS,h,2.0NRT,302.1916058432021,16.14020384666035,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.803510838460305,86.18385478631801,377.788748047716,0.4,0.4,2026-08-15,130,N,VIIRS,h,2.0NRT,303.8563169075416,9.612717790336017,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.80604223997672,86.18633959352809,355.6925020459224,0.4,0.4,2026-08-05,1830,N,VIIRS,h,2.0NRT,301.43063678289445,11.015120891478766,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.799537996698128,86.18065866258273,329.4404721696412,0.4,0.4,2026-08-30,1830,N,VIIRS,h,2.0NRT,318.8569299364854,17.08580690707607,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.803465512337883,86.18889768489336,382.3000723172636,0.4,0.4,2026-08-17,1830,N,VIIRS,h,2.0NRT,311.5067056747699,12.493615021437886,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.801749933835268,86.1839829007723,356.46210318668886,0.4,0.4,2026-08-04,145,N,VIIRS,h,2.0NRT,296.0709009438569,11.059566241506525,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.80281755013291,86.18066182643683,380.68156238681684,0.4,0.4,2026-08-24,1830,N,VIIRS,h,2.0NRT,311.5838886785281,12.320930397751038,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.809405336673965,86.18428193311759,326.7555456911911,0.4,0.4,2026-08-26,1830,N,VIIRS,h,2.0NRT,302.4742220651183,8.416141738618926,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.807105333737745,86.18607061317745,328.27223741780415,0.4,0.4,2026-08-01,145,N,VIIRS,h,2.0NRT,307.6293371653314,9.705929685368861,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.803430570590532,86.18086994155733,367.27323931851333,0.4,0.4,2026-08-03,1845,N,VIIRS,h,2.0NRT,290.6841161308909,17.585592132414455,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.805540541542353,86.18751437970369,358.93266646705285,0.4,0.4,2026-08-22,145,N,VIIRS,h,2.0NRT,304.72120983063564,17.37826454974983,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.798203861157806,86.18580313438703,346.52551978740416,0.4,0.4,2026-08-07,1830,N,VIIRS,h,2.0NRT,305.6201720741461,12.389114603050466,D,DEMO_DATA,"Tata Steel, Jamshedpur"
22.807797940692364,86.18547114570234,331.21992711988884,0.4,0.4,2026-08-27,130,N,VIIRS,h,2.0NRT,306.6210843061715,9.085757411354436,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.804438652347546,86.19030378974074,381.49179935341255,0.4,0.4,2026-08-10,1830,N,VIIRS,h,2.0NRT,293.2322283786769,17.16011845137608,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.801704649713304,86.1828243218064,349.6737827089951,0.4,0.4,2026-08-06,130,N,VIIRS,h,2.0NRT,314.8936922939724,16.08251472064302,N,DEMO_DATA,"Tata Steel, Jamshedpur"
22.21632659290484,84.85589552240226,329.8206345929189,0.4,0.4,2026-08-19,130,N,VIIRS,h,2.0NRT,294.5985294987348,9.434146465261913,N,DEMO_DATA,Rourkela Steel Plant
22.224384332876724,84.85667886295387,344.8258938320076,0.4,0.4,2026-08-22,1845,N,VIIRS,h,2.0NRT,319.15479278182903,12.005929489618739,N,DEMO_DATA,Rourkela Steel Plant
22.219509671304426,84.8610127236464,338.37248239990845,0.4,0.4,2026-08-03,145,N,VIIRS,h,2.0NRT,310.3297602083857,8.974660037028249,D,DEMO_DATA,Rourkela Steel Plant
22.21985384479421,84.85747030918913,366.48932873767217,0.4,0.4,2026-08-29,145,N,VIIRS,h,2.0NRT,314.1237357854679,13.723257036926412,D,DEMO_DATA,Rourkela Steel Plant
22.21602082184678,84.86009189447778,329.90030429202756,0.4,0.4,2026-08-07,1830,N,VIIRS,h,2.0NRT,301.9273458147482,10.407589534247517,N,DEMO_DATA,Rourkela Steel Plant
22.223008273475912,84.86161434631101,396.4498605637576,0.4,0.4,2026-08-10,1830,N,VIIRS,h,2.0NRT,317.74425287936083,8.19887593109005,D,DEMO_DATA,Rourkela Steel Plant
22.22072749037381,84.86052972007536,328.47179230006026,0.4,0.4,2026-08-11,1830,N,VIIRS,h,2.0NRT,302.57342957948913,15.729855297145454,D,DEMO_DATA,Rourkela Steel Plant
